"Date","city","variable","type","value","seven_day_rolling_average","fourteen_day_rolling_average","diff_7","subtract_7","diff_14","subtract_14","seven_trend_direction","fourteen_trend_direction","thirty_days_ago","organism","category","cat2","numDaysDownward"
"2021-07-15","FL","N1","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-15","FL","N2","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-15","JS","N1","INFLUENT",1.20603015075377e-05,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-15","JS","N2","INFLUENT",2.1105527638191e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-15","YC","N1","INFLUENT",0,1.87726095133586e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-15","YC","N2","INFLUENT",3.01003344481605e-05,2.31623959020868e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-16","AA","N1","INFLUENT",2.13523131672598e-05,7.08729877514829e-06,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-16","AA","N2","INFLUENT",0,5.21390719567598e-06,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-16","FL","N1","INFLUENT",1.98019801980198e-05,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-16","FL","N2","INFLUENT",1.98019801980198e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-16","JS","N1","INFLUENT",4.7029702970297e-05,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-16","JS","N2","INFLUENT",1.48514851485149e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-16","YC","N1","INFLUENT",5.85858585858586e-05,2.53144211724411e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-16","YC","N2","INFLUENT",1.41414141414141e-05,2.26442691579473e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-17","AA","N1","INFLUENT",2.75590551181102e-05,1.1024306649164e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-17","AA","N2","INFLUENT",3.1496062992126e-05,9.71334476597969e-06,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-17","FL","N1","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-17","FL","N2","INFLUENT",0,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-17","YC","N1","INFLUENT",1.96078431372549e-05,2.01092621857695e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-17","YC","N2","INFLUENT",1.96078431372549e-05,1.91659547552631e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-18","AA","N1","INFLUENT",0,9.63284097198407e-06,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-18","AA","N1","SOLID",1.04166666666667e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-18","AA","N2","INFLUENT",2.79569892473118e-05,1.37072003727385e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-18","AA","N2","SOLID",1.04166666666667e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-18","FL","N1","INFLUENT",0,2.82885431400283e-06,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-18","FL","N2","INFLUENT",0,3.78977679958899e-06,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-18","JS","N1","INFLUENT",1.52284263959391e-05,,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-18","JS","N2","INFLUENT",4.82233502538071e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-18","YC","N1","INFLUENT",7.15137067938021e-06,2.11308865685381e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-18","YC","N2","INFLUENT",2.14541120381406e-05,2.22308279035689e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-19","AA","N1","SOLID",8.48484848484848e-06,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-19","AA","N2","SOLID",4.24242424242424e-06,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-19","FL","N1","INFLUENT",0,2.82885431400283e-06,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-19","FL","N2","INFLUENT",0,3.78977679958899e-06,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-19","JS","N1","INFLUENT",5.18134715025907e-05,2.40424673145397e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-19","JS","N2","INFLUENT",4.40414507772021e-05,2.85105802715456e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-19","YC","N1","INFLUENT",1.99789695057834e-05,2.06627659331516e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-19","YC","N2","INFLUENT",4.10094637223975e-05,2.75469130661624e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-20","AA","N1","SOLID",1.07398568019093e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-20","AA","N2","SOLID",1.07398568019093e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-20","FL","N1","INFLUENT",2.24299065420561e-05,6.0331266771537e-06,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-20","FL","N2","INFLUENT",3.36448598130841e-05,8.59618534431529e-06,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-20","JS","N1","INFLUENT",9.54979536152797e-06,2.08895018862317e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-20","JS","N2","INFLUENT",1.90995907230559e-05,2.36162812613441e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-20","YC","N1","INFLUENT",2.30496453900709e-05,1.98563717615754e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-20","YC","N2","INFLUENT",4.16666666666667e-05,2.7965373133116e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-21","AA","N1","SOLID",1.11214087117702e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-21","AA","N2","SOLID",1.76088971269694e-05,,,,,,,"None","None",,"SARS-CoV-2",,,
