"Date","city","variable","type","value","seven_day_rolling_average","fourteen_day_rolling_average","diff_7","subtract_7","diff_14","subtract_14","seven_trend_direction","fourteen_trend_direction","thirty_days_ago","organism","category","cat2","numDaysDownward"
2021-09-07,"AA",,"INFLUENT",0.00184870706291007,,,,,,,"None","None",,"Norovirus",,,
2021-09-13,"AA",,"INFLUENT",0.00203215603584607,,,,,,,"None","None",,"Norovirus",,,
2021-09-21,"AA",,"INFLUENT",0.00293624663274469,,,,,,,"None","None",,"Norovirus",,,
2021-09-28,"AA",,"INFLUENT",0.000774629581492072,,,,,,,"None","None",,"Norovirus",,,
2021-10-06,"AA",,"INFLUENT",0.00104429596634496,,,,,,,"None","None",,"Norovirus",,,
2021-10-12,"AA",,"INFLUENT",0.000360977838702308,,,,,,,"None","None",,"Norovirus",,,
2021-10-19,"AA",,"INFLUENT",0.000898450946643718,0.00141363772352627,,,,,,"None","None",,"Norovirus",,,
2021-10-26,"AA",,"INFLUENT",0.00125274725274725,0.00132850060778872,,,,,,"None","None",,"Norovirus",,,
2021-11-02,"AA",,"INFLUENT",0.000682688958551027,0.00113571959674658,,,,,,"None","None",,"Norovirus",,,
2021-11-23,"AA",,"INFLUENT",0.000378077373974209,0.00077026684549365,,,,,,"None","None",,"Norovirus",,,
2021-11-28,"AA",,"INFLUENT",0.00416956219596942,0.00125525721899041,,,,,,"None","None",,"Norovirus",,,
2021-12-09,"AA",,"INFLUENT",0.00188383045525903,0.00137519071740671,,,,,,"None","None",,"Norovirus",,,
2021-12-21,"AA",,"INFLUENT",0.00400923338597983,0.0018963700813035,,,,,,"None","None",,"Norovirus",,,
2021-12-28,"AA",,"INFLUENT",0.0179661509989797,0.00433461294592292,0.0028741253347246,2.06628273551613,0.00292097522239665,,,"100% to 999%","None",,"Norovirus",,,
2022-01-05,"AA",,"INFLUENT",0.0176481021744377,0.00667680650616442,0.00400265355697657,4.02582119046064,0.00534830589837569,,,"100% to 999%","None",,"Norovirus",,,
2022-01-11,"AA",,"INFLUENT",0.0111245818251887,0.00816850548711266,0.00465211254192962,6.19236113430856,0.00703278589036609,,,"100% to 999%","None",,"Norovirus",,,
2022-01-18,"AA",,"INFLUENT",0.00452855581057804,0.00876143097805607,0.00476584891177486,10.3745399134257,0.00799116413256242,,,"1000%+","None",,"Norovirus",,,
2022-01-25,"AA",,"INFLUENT",0.016531826914057,0.0105274687949257,0.00589136300695807,7.38670245082742,0.00927221157593531,,,"100% to 999%","None",,"Norovirus",,,
2022-02-01,"AA",,"INFLUENT",0.00414415150669863,0.0108503718022742,0.00611278125984047,6.89008510960249,0.00947518108486753,,,"100% to 999%","None",,"Norovirus",,,
2022-02-08,"AA",,"INFLUENT",0.0273026849611023,0.0141780077415774,0.00803718891144047,6.47639286305971,0.0122816376602739,,,"100% to 999%","None",,"Norovirus",,,
2022-02-14,"AA",,"INFLUENT",0.0310535427882974,0.0160476351400514,0.0101911240429872,2.70220717287932,0.0117130221941285,,,"100% to 999%","None",,"Norovirus",,,
2022-02-22,"AA",,"INFLUENT",0.0341933175584616,0.0184112373377691,0.0125440219219668,1.75749152244726,0.0117344308316047,,,"100% to 999%","None",,"Norovirus",,,
2022-03-02,"AA",,"INFLUENT",0.0121762760574141,0.0185614793709441,0.0133649924290284,1.27232256870346,0.0103929738838315,,,"100% to 999%","None",,"Norovirus",,,
2022-03-08,"AA",,"INFLUENT",0.022385227970196,0.0211124325366039,0.01493693175733,1.40970140488263,0.0123510015585478,,,"100% to 999%","None",,"Norovirus",,,
2022-03-15,"AA",,"INFLUENT",0.0195166815089918,0.0215388403358803,0.016033154565403,1.04596572599313,0.0110113715409545,,,"100% to 999%","None",,"Norovirus",,,
2022-03-25,"AA",,"INFLUENT",0.0199743701279171,0.0238003001389115,0.0173253359705928,1.19350088389809,0.0129499283366372,,,"100% to 999%","None",,"Norovirus",,,
2022-03-27,"AA",,"INFLUENT",0.0297930555449774,0.0241560673651793,0.0191670375533784,0.70377021972847,0.0099780596236019,,,"10% to 99%","None",,"Norovirus",,,
2022-03-28,"AA",,"INFLUENT",0.0301654087831343,0.0240291910787275,0.0200384131093894,0.497366488521156,0.00798155593867608,5.97200392317253,0.0171642877746648,"10% to 99%","100% to 999%",,"Norovirus",,,
2022-03-29,"AA",,"INFLUENT",0.0199013255522601,0.0219874779349844,0.0201993576363768,0.19424227343368,0.00357624059721532,4.04649162083227,0.0161967040794002,"10% to 99%","100% to 999%",,"Norovirus",,,
2022-03-30,"AA",,"INFLUENT",0.0355351842724848,0.0253244648228516,0.0219429720968979,0.364355950124007,0.00676298545190751,3.71677585164273,0.0172908595549683,"10% to 99%","100% to 999%",,"Norovirus",,,
2022-03-31,"AA",,"INFLUENT",0.0306203855632992,0.0265009159075807,0.0238066742220923,0.255227973452822,0.00538848337097681,3.9952641518437,0.0190408253103174,"10% to 99%","100% to 999%",,"Norovirus",,,
2022-04-01,"AA",,"INFLUENT",0.0186775022142685,0.0263810331511916,0.0239599367435359,0.224812141220298,0.00484219281531137,3.06695983853613,0.0180685737365779,"10% to 99%","100% to 999%",,"Norovirus",,,
2022-04-02,"AA",,"INFLUENT",0.0156827877722577,0.025767949957526,0.0247841250482187,0.0826733195434615,0.00196764981861452,3.05447602240318,0.0186713437883783,"-9% to 9%","100% to 999%",,"Norovirus",,,
2022-04-03,"AA",,"INFLUENT",0.0229763647272871,0.0247941369835702,0.0244751021743748,0.0264144659287821,0.000638069618390896,2.04523166545655,0.0164379132629343,"-9% to 9%","100% to 999%",,"Norovirus",,,
2022-04-04,"AA",,"INFLUENT",0.0133412071010157,0.0223906796004104,0.023209935339569,-0.068188374421292,-0.00163851147831704,1.27746568893354,0.0130188112965818,"-9% to 9%","100% to 999%",,"Norovirus",,,
2022-04-05,"AA",,"INFLUENT",0.0303220596598139,0.0238793559014895,0.022933416918237,0.0860434276318227,0.00189187796650513,0.828234760820737,0.0103893949962702,"-9% to 9%","10% to 99%",0.0265009159075807,"Norovirus",,,
2022-04-06,"AA",,"INFLUENT",0.0358850434533436,0.0239293357844694,0.0246269003036605,-0.0550901686626512,-0.00139512903838227,0.842642293621622,0.0112619078746321,"-9% to 9%","10% to 99%",0.0265009159075807,"Norovirus",,,
2022-04-07,"AA",,"INFLUENT",0.0235854626527481,0.0229243467972478,0.0247126313524142,-0.134960207519084,-0.00357656911033289,0.654465036990415,0.00977569959508426,"-10% to -99%","10% to 99%",0.0265009159075807,"Norovirus",,,
2022-04-08,"AA",,"INFLUENT",0.0233335734065019,0.0235894998247097,0.0249852664879507,-0.105815921252342,-0.00279153332648192,0.558350004425512,0.00895211192254768,"-10% to -99%","10% to 99%",0.0265009159075807,"Norovirus",,,
2022-04-09,"AA",,"INFLUENT",0.0193527629766894,0.0241137819967714,0.0249408659771487,-0.0641947831892415,-0.00165416796075461,0.439560307487373,0.00761553000655583,"-9% to 9%","10% to 99%",0.0265009159075807,"Norovirus",,,
2022-04-10,"AA",,"INFLUENT",0.0323322970153314,0.0254503437522063,0.0251222403678882,0.0264662072759725,0.000656206768636026,0.310700221561375,0.00595520281450986,"-9% to 9%","10% to 99%",0.0265009159075807,"Norovirus",,,
